Date,Close/Last,Volume,Open,High,Low
01/30/2024,243.98,3098878,244.07,244.33,243.57
01/29/2024,244.32,3463378,242.34,244.34,242.125
01/26/2024,242.12,2858242,242.31,243.02,241.73
01/25/2024,242.32,2993885,242.19,242.5586,241.07
01/24/2024,240.98,3002976,242.66,242.87,240.85
01/23/2024,241.02,3015293,241.02,241.17,240.06
01/22/2024,240.58,3952716,240.54,241.40,240.05
01/19/2024,239.54,3850769,237.38,239.735,236.76
01/18/2024,236.66,3509912,235.64,236.955,234.62
01/17/2024,234.59,3336627,234.41,234.87,233.43
01/16/2024,236.01,3646664,236.29,236.9102,235.10
01/12/2024,237.11,3053406,237.98,238.37,236.42
01/11/2024,237.07,3375598,237.52,237.86,234.92
01/10/2024,237.23,3343377,236.12,237.6607,235.79
01/09/2024,236.01,4524784,235.151,236.56,234.74
01/08/2024,236.45,4156552,233.27,236.56,233.26
01/05/2024,233.12,3305525,232.70,234.39,232.40
01/04/2024,232.77,3681857,233.26,234.55,232.66
01/03/2024,233.37,3925518,234.53,234.735,233.11
01/02/2024,235.63,4847610,235.65,236.51,234.765
12/29/2023,237.22,4188762,238.14,238.47,236.48
12/28/2023,238.13,4099416,238.25,238.7399,238.13
12/27/2023,238.25,5103732,238.00,238.44,237.47
12/26/2023,237.80,3829400,236.98,238.31,236.8559
12/22/2023,236.63,3662383,236.59,237.515,235.64
12/21/2023,236.09,4427026,235.08,236.17,234.06
12/20/2023,234.51,5149738,237.74,238.69,234.44
12/19/2023,238.06,3731693,236.72,238.095,236.72
12/18/2023,236.33,3855054,235.86,236.815,235.82
12/15/2023,235.31,4298616,234.79,235.9387,234.63
12/14/2023,235.63,5014530,235.66,236.58,234.19
12/13/2023,234.24,4231060,230.77,234.425,230.545
12/12/2023,230.66,3214921,229.59,230.7801,228.96
12/11/2023,229.79,3076566,228.69,229.83,228.51
12/08/2023,228.85,2740235,227.36,229.09,227.27
12/07/2023,227.76,2724304,226.99,228.05,226.71
12/06/2023,225.95,3172934,227.89,228.1596,225.88
12/05/2023,226.91,3019047,226.58,227.4535,226.205
12/04/2023,227.35,3837805,226.58,227.43,226.08
12/01/2023,228.17,4078686,225.99,228.33,225.585
11/30/2023,226.26,3147997,225.73,226.385,224.82
11/29/2023,225.33,2653679,226.38,227.19,225.11
11/28/2023,225.23,2761895,224.77,225.905,224.45
11/27/2023,225.09,2409965,225.12,225.53,224.77
11/24/2023,225.38,1219467,225.04,225.44,225.01
11/22/2023,225.14,2880548,224.85,225.76,224.53
11/21/2023,224.18,2513822,224.25,224.43,223.61
11/20/2023,224.79,2876890,223.11,225.25,223.00
